#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-08-18T12:49:45 [V7.5.8]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-18T12:49:45	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-order=I&-c=Hyades&-c.eq=J2000&-c.r=  4&-c.u=arcmin&-c.geom=r&-out.src=I/350/gaiaedr3&-source=I/350/gaiaedr3&-out.orig=standard&-out=Plx&-out=e_Plx&-out=PM&-out=Gmag&-out=e_Gmag&-out=BP-RP&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.8	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable
#INFO	-c=067.447083+16.948056,rm=4.	
#Constraint -bmark=POST

#RESOURCE=yCat_1350
#Name: I/350
#Title: Gaia EDR3 (Gaia Collaboration, 2020)
#INFO	ivoid=ivo://cds.vizier/i/350	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/i/350	    IVOID of underlying data collection
#INFO	creator=Gaia collaboration	    First author or institution
#INFO	cites=bibcode:2021A&A...649A...1G	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2021	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/I/350	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.1350	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-02-23	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_2016.000:	ICRS
#Table	I_350_gaiaedr3:
#Name: I/350/gaiaedr3
#Title: GaiaSource EDR3 data
#Column	_r	(F6.4)	Distance from center (067.44708333000+16.94805556000)[ICRS], at Epoch=J2016.0	[ucd=pos.angDistance]
#Column	_RAJ2000	(F17.13)	Right ascension (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F17.13)	Declination (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.dec]
#Column	Plx	(F10.4)	? Absolute stellar parallax of the source at the Ep=2016.0 (parallax)	[ucd=pos.parallax.trig]
#Column	e_Plx	(F7.4)	? Standard error of the stellar parallax at Ep=2016.0 (parallax_error)	[ucd=stat.error;pos.parallax.trig]
#Column	PM	(F9.3)	? Total proper motion (pm) (6)	[ucd=pos.pm;pos.eq]
#Column	Gmag	(F9.6)	? G-band mean magnitude (Vega) (phot_g_mean_mag) (34)	[ucd=phot.mag;em.opt]
#Column	e_Gmag	(F9.6)	? Standard error of G-band mean magnitude (Vega) (added by CDS) (phot_g_mean_mag_error) (G1)	[ucd=stat.error;phot.mag;stat.mean]
#Column	BP-RP	(F9.6)	? BP-RP colour (photBpMeanMag - photRpMeanMag) (bp_rp)	[ucd=phot.color;em.opt.B;em.opt.R]
r(arcmin);RAJ2000(deg);DEJ2000(deg);Plx(mas);e_Plx(mas);PM(mas/yr);Gmag(mag);e_Gmag(mag);BP-RP(mag)
0.4278;067.4489151052206;+16.9411442808427;    0.2359; 0.1034;    0.232;17.592650; 0.002903; 1.074120
0.5056;067.4410664084746;+16.9542217616075;    0.1110; 0.0865;    2.289;17.334360; 0.002873; 1.056433
0.5283;067.4508734262050;+16.9400748729138;    0.7499; 0.0918;    8.765;17.449934; 0.002882; 1.486988
0.5686;067.4542951827402;+16.9545742191346;    0.7345; 0.0806;    6.321;17.067387; 0.002937; 1.303419
0.5872;067.4565326010188;+16.9443139472705;    0.8407; 0.3414;    1.498;19.423695; 0.003993; 1.270939
0.7350;067.4453762638927;+16.9602006956423;    0.5483; 0.1394;    2.425;18.144842; 0.003054; 1.195398
0.8310;067.4395719156181;+16.9362111712295;    0.3932; 0.1374;    1.554;18.163057; 0.003066; 1.213289
1.0127;067.4299494756906;+16.9521551000641;    0.6685; 0.1578;    5.183;18.090479; 0.003080; 1.683441
1.0989;067.4392856536836;+16.9647851051199;    0.3850; 0.2943;    0.598;19.270443; 0.003756; 1.699388
1.1868;067.4581695689267;+16.9313665554315;    0.4990; 0.0991;    1.698;17.501232; 0.002900; 1.128529
1.1912;067.4655234491633;+16.9389507758489;    0.1749; 0.1808;    0.988;18.559437; 0.003173; 1.100615
1.2095;067.4593267645531;+16.9316558818041;    0.3034; 0.0508;    1.651;16.250277; 0.002799; 1.044104
1.3056;067.4268129932615;+16.9381617382172;    0.4659; 0.1870;    2.133;18.600853; 0.003246; 1.411901
1.3821;067.4706588570122;+16.9433333554253;   -1.6167; 0.7938;    1.775;20.538301; 0.006881; 1.642149
1.3860;067.4707347787068;+16.9527034685662;    0.1067; 0.1043;    1.355;17.706944; 0.002913; 1.101931
1.4407;067.4270156081876;+16.9335717678483;    1.3673; 0.0871;    8.693;17.225094; 0.002868; 1.932215
1.4743;067.4362486669873;+16.9703724542829;    1.3476; 0.1088;   16.216;17.740938; 0.002939; 2.040485
1.4980;067.4225725714253;+16.9394904776611;    0.0723; 0.1568;    1.387;18.326546; 0.003102; 1.061605
1.5055;067.4433058702061;+16.9232361819910;    1.7564; 1.8170;    6.445;20.555498; 0.009749; 1.867094
1.6005;067.4347745908709;+16.9720022073685;    0.4975; 0.3662;    2.303;19.549720; 0.004292; 1.343361
1.6195;067.4353623391269;+16.9726032608855;    0.9694; 0.2786;    4.284;19.148771; 0.003631; 2.238926
1.7555;067.4358327233649;+16.9208700437825;    0.6482; 0.3757;    7.274;19.654722; 0.004230; 1.621721
1.7566;067.4289453660898;+16.9244736954938;    0.9043; 0.0327;    1.580;15.431202; 0.002772; 1.124146
1.7596;067.4273090808732;+16.9705076657661;    1.1139; 0.3125;    9.179;19.429766; 0.004008; 2.284180
1.7758;067.4768595979993;+16.9560385160545;    0.8491; 0.0839;    6.392;17.277937; 0.002883; 1.746218
1.7947;067.4524192739499;+16.9775285030967;   -1.9842; 1.3263;    1.749;20.777403; 0.011584; 1.262310
1.8182;067.4739119301666;+16.9319934299619;    0.5025; 0.0387;    6.544;15.831128; 0.002778; 1.174879
1.8217;067.4508721066179;+16.9179144127755;    0.0179; 0.2999;    1.072;19.232761; 0.003741; 1.625311
1.8503;067.4167467583564;+16.9376159661435;    2.2403; 1.2207;    3.244;20.632845; 0.008320; 1.233482
1.8860;067.4232963174450;+16.9264124590860;    0.5809; 0.0763;    7.118;17.059656; 0.002848; 1.332714
