#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-08-17T09:46:22 [V7.5.8]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-17T09:46:22	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-order=I&-c=M45&-c.eq=J2000&-c.r=  5&-c.u=arcmin&-c.geom=r&-out.src=I/350/gaiaedr3&-source=I/350/gaiaedr3&-out.orig=standard&-out=Plx&-out=e_Plx&-out=PM&-out=Gmag&-out=e_Gmag&-out=BP-RP&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.8	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable
#INFO	-c=056.600833+24.113889,rm=5.	
#Constraint -bmark=POST

#RESOURCE=yCat_1350
#Name: I/350
#Title: Gaia EDR3 (Gaia Collaboration, 2020)
#INFO	ivoid=ivo://cds.vizier/i/350	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/i/350	    IVOID of underlying data collection
#INFO	creator=Gaia collaboration	    First author or institution
#INFO	cites=bibcode:2021A&A...649A...1G	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2021	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/I/350	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.1350	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-02-23	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_2016.000:	ICRS
#Table	I_350_gaiaedr3:
#Name: I/350/gaiaedr3
#Title: GaiaSource EDR3 data
#Column	_r	(F6.4)	Distance from center (056.60083333000+24.11388889000)[ICRS], at Epoch=J2016.0	[ucd=pos.angDistance]
#Column	_RAJ2000	(F17.13)	Right ascension (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F17.13)	Declination (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.dec]
#Column	Plx	(F10.4)	? Absolute stellar parallax of the source at the Ep=2016.0 (parallax)	[ucd=pos.parallax.trig]
#Column	e_Plx	(F7.4)	? Standard error of the stellar parallax at Ep=2016.0 (parallax_error)	[ucd=stat.error;pos.parallax.trig]
#Column	PM	(F9.3)	? Total proper motion (pm) (6)	[ucd=pos.pm;pos.eq]
#Column	Gmag	(F9.6)	? G-band mean magnitude (Vega) (phot_g_mean_mag) (34)	[ucd=phot.mag;em.opt]
#Column	e_Gmag	(F9.6)	? Standard error of G-band mean magnitude (Vega) (added by CDS) (phot_g_mean_mag_error) (G1)	[ucd=stat.error;phot.mag;stat.mean]
#Column	BP-RP	(F9.6)	? BP-RP colour (photBpMeanMag - photRpMeanMag) (bp_rp)	[ucd=phot.color;em.opt.B;em.opt.R]
_r;_RAJ2000;_DEJ2000;Plx;e_Plx;PM;Gmag;e_Gmag;BP-RP
arcmin;deg;deg;mas;mas;mas/yr;mag;mag;mag
0.3721;056.5995931161685;+24.1078179521841;    1.0024; 0.4764;   12.013;19.480799; 0.004665; 0.947384
0.5387;056.6031803295194;+24.1052189000411;    0.8484; 0.0825;   10.813;16.917551; 0.002867; 1.638126
0.6324;056.5935913866395;+24.1222305662921;    4.9834; 0.0237;   23.400;14.331924; 0.002771; 1.802323
0.6510;056.6124997054848;+24.1117855349282;    0.1464; 0.4188;    1.115;19.427362; 0.004501; 1.148716
0.6762;056.6036185746365;+24.1029105915439;    0.9880; 0.8817;    6.620;20.281404; 0.007815; 1.799360
0.7197;056.6073243204082;+24.1243367743369;    0.4832; 0.7423;    4.112;20.037690; 0.006684; 1.510326
0.8636;056.5854056867941;+24.1170050902118;    1.9721; 0.1393;   11.872;17.745370; 0.003064; 2.453650
0.9817;056.5829879776645;+24.1122443421716;    0.5827; 0.5042;    2.366;19.626211; 0.004891; 1.170052
1.0701;056.6063975986279;+24.1310076986576;    1.5216; 0.9786;    8.578;20.368303; 0.007773; 1.671324
1.3377;056.6179926102917;+24.1297875319316;    0.4306; 0.3334;    5.644;19.117365; 0.004026; 2.122795
1.4217;056.6144415943749;+24.0940157428601;    0.7587; 0.1930;   71.232;18.180384; 0.003149; 1.678707
1.4623;056.6268187058009;+24.1084309106544;    0.6726; 0.3823;   11.144;19.215122; 0.004086; 2.054197
1.6106;056.6299379442383;+24.1173420635427;    7.3931; 0.1385;   48.842;13.540735; 0.003494; 1.847314
1.6236;056.6061568537465;+24.1405163819499;    0.4791; 0.3643;    1.488;19.186472; 0.003912; 1.450916
1.6695;056.5709003282992;+24.1191825860562;    0.1150; 0.1264;    2.400;17.831470; 0.003043; 1.029449
1.6750;056.6039286639360;+24.1417039184786;    0.6042; 0.4730;   11.464;19.589405; 0.004725; 1.863308
1.6833;056.5703000252358;+24.1106160873507;    0.1162; 0.0961;    5.531;17.242485; 0.002892; 1.268116
1.7401;056.6086949770554;+24.0860115211217;    7.5721; 0.6295;   49.397;19.425034; 0.006698; 3.520020
1.8169;056.6317189715464;+24.1031044700390;    1.3888; 0.1871;   22.158;18.164673; 0.003178; 2.429230
1.8952;056.6271581330403;+24.1343853423652;    0.0571; 0.0904;    4.722;17.073560; 0.002873; 1.296257
1.9172;056.6288026140551;+24.0946771721440;    1.8021; 0.3988;    3.278;19.141157; 0.004049; 2.675068
1.9358;056.5906368643739;+24.0830005720585;    0.5927; 0.2397;    1.933;18.567097; 0.003479; 1.867889
2.0337;056.5948128822015;+24.1473447779865;    0.5237; 0.5597;    2.142;19.877228; 0.005439; 1.248009
2.0650;056.6370589728265;+24.1234098399222;    0.7153; 0.3784;    3.230;19.179317; 0.004109; 1.717453
2.0773;056.5690650549822;+24.0949841900510;    0.4865; 0.1347;    1.261;17.762636; 0.002982; 1.221416
2.0819;056.5681728759717;+24.0961462086855;    0.1967; 0.2679;    2.167;18.865173; 0.003682; 1.209820
2.0975;056.6171447060838;+24.0822829270415;    0.2932; 0.1293;    6.094;17.224728; 0.002926; 1.229618
2.1005;056.6356944113802;+24.0992925812460;    0.3113; 0.1519;    3.571;17.890491; 0.003082; 1.081537
2.1233;056.6209183355318;+24.1441910857558;    0.8911; 0.2071;    9.854;18.509443; 0.003351; 1.998403
2.1879;056.5708384235959;+24.0897927233826;    0.6560; 0.1856;    3.038;18.299253; 0.003190; 1.309233
2.1909;056.5630406016214;+24.1018317063498;    0.8600; 0.0693;    7.466;16.823896; 0.002842; 1.352613
2.2056;056.6259667708022;+24.0854611801285;    6.6423; 0.0670;   51.405;15.676697; 0.002820; 2.599998
2.2261;056.6388291820239;+24.1007018726105;    0.1015; 0.3344;    2.019;18.967043; 0.003714; 1.417921
2.2580;056.5943615650853;+24.0767332282023;    0.6363; 0.4829;    3.283;19.690762; 0.005081; 1.319672
2.2586;056.6254640640706;+24.0839690123348;    6.5402; 0.0556;   48.853;16.000970; 0.002822; 2.497039
2.3634;056.5615415978726;+24.0976195315944;    1.3558; 0.6561;    1.924;20.127563; 0.006504; 0.980656
2.4934;056.6463613642343;+24.1140601267467;    0.6912; 0.2629;    8.356;18.581790; 0.003422; 1.973333
2.4981;056.6449453544968;+24.1033020101616;    0.4739; 0.5517;    1.337;19.677132; 0.005187; 1.126274
2.4984;056.6094601043746;+24.1547930905580;    0.6557; 0.0445;    3.484;15.370931; 0.002780; 1.124164
2.5125;056.5638152831133;+24.0891308840542;    0.3850; 0.0452;    4.157;15.746557; 0.002782; 1.037629
2.6073;056.5973741585911;+24.1572240547012;    0.7395; 0.1331;    1.140;17.992271; 0.003049; 1.742914
2.6161;056.6138878735873;+24.0720303921569;    1.1614; 0.6326;   18.238;19.941488; 0.005600; 2.227982
2.6858;056.5579462845195;+24.0921935517315;    0.9297; 0.0563;    4.784;16.243711; 0.002807; 1.219457
2.7190;056.6425729068121;+24.1382654601405;    3.6192; 0.0188;   64.258;11.464713; 0.002773; 0.962671
2.7671;056.5514773201301;+24.1238427816177;    1.2554; 0.4345;    5.982;19.598719; 0.004840; 2.795342
2.7755;056.6057906663035;+24.1601320893827;    7.1906; 0.0736;   50.909;14.781489; 0.002922; 2.550365
2.8178;056.5679786079784;+24.0777767288872;    0.2676; 2.0846;    8.166;20.685654; 0.011426; 0.878820
2.8894;056.5771774886963;+24.0708454471907;    1.2814; 1.0112;    2.059;20.468826; 0.010066; 0.924799
2.9058;056.6067377913868;+24.0657651655044;    0.0014; 0.4353;    1.251;19.179419; 0.004072; 0.923365
